16.2	96.8
16.2	96.5
16.1	96.7
15.9	96.5
16.1	96.6
16.4	96.1
16.2	96.5
16.2	96.9
16.2	96.9
16.8	94.7
16.3	95.3
16.3	95.9
16.4	95.2
22.7	73
23.1	72
23.4	69.3
23.8	69
24.4	71.3
25.2	76
26.2	75.5
26.6	66.8
27.4	67.5
28	66.2
28.9	70.6
29.3	62.3
29.7	62.4
30.4	70.4
31	65.6
31.1	61.1
29.9	59.4
29.1	62.5
29.7	60.3
29.3	58.8
29	61.8
29.6	62.1
30	59.3
29.8	59.5
28.8	61.8
23.5	76.4
23.2	76.4
23	76.9
22.9	78.5
22.7	80.2
22.8	82
23	80.9
23	79.6
23.1	80.2
23.3	79.1
22.7	82.4
22.8	83.1
22.7	82.1
22.6	83.9
22.5	84.2
22.3	85.1
22.1	84.9
22	85.5
21.9	86.5
21.9	86.7
21.8	86.5
21.7	87.5
21.6	87.2
21.7	88.9
21.7	88.4
21.8	88
21.7	87
21.8	87.5
21.9	88
22	87.6
22.1	88.1
22	88
22.1	87.9
22	88.2
21.7	88.9
21.6	89
21.3	90.1
21.1	90.3
21.1	90.6
21.2	89.8
21.3	90.2
21	91.5
21	91.7
21	91.6
21	91.4
20.9	92
20.9	91.8
20.8	91.8
20.6	92.6
20.5	93
20.4	93.1
20.2	93.7
20	94.3
20	93.7
20	94.8
19.9	94.9
19.9	95
19.9	95.2
20	95
19.9	95.2
19.7	95.5
19.6	95.8
19.6	95.9
19.5	96.4
19.6	96.2
19.6	96.1
19.6	95.9
19.6	96.4
19.5	96.6
19.5	96.3
19.6	96
19.5	95.8
19.4	95.8
19.5	95.8
19.5	95.4
19.6	95.3
19.6	95.1
19.6	95.1
19.7	95
19.9	94.8
20	94.7
20	94.7
20	94.2
20	94
20.1	93.8
20.2	93.8
20.4	93.4
23.5	77.8
23.9	75.1
23	79
23	72
23.2	72.1
26.7	76.5
26.9	78.9
23.5	77.8
23.9	75.1
23	79
23	72
23.2	72.1
26.7	76.5
26.9	78.9
22	70.2
22.1	72.9
22.3	70.8
20.8	75.3
20.6	73.1
20.5	73.7
22.5	81
25.8	72.2
25.8	72.2
22.5	71.3
26.5	80
26.1	79
24.6	77.2
26.1	75.8
18.5	90.1
18.4	89.3
18.6	88.4
18.6	88.4
18.5	88.2
18.4	89.6
18.4	89.2
18.3	89.4
18.5	89.9
18.7	89.4
18.9	88.1
19	87.1
18.8	85.3
18.9	87.6
19.7	83.7
20	85
20.3	83.6
20.4	83.3
20.5	82
20.5	82.1
20.4	80.4
20.6	80.2
20.7	81.1
36.5	43.3
35.1	40.7
37.9	39.2
37.9	39.2
36.5	40.2
40.2	40.2
40.2	40.2
31.4	48.1
29.7	49.7
29.7	49.7
30.3	46.9
30.3	48.7
30.3	46.9
30.86	46.9
32.4	44.9
33.3	45.8
35	39.8
35.6	40.6
35.6	40.6
29	52.6
30.1	51.1
31.1	47.7
31.1	46.2
30.8	44.6
28.8	49.2
28.4	77.6
28.7	76.7
28.6	76.3
28.4	76.7
28.3	75.3
28.5	75.4
29.1	75.6
29.3	73
29.3	74.2
29.9	74.3
29.9	70.5
30.7	74.7
29.3	49.5
29.1	49.2
28.6	54.1
28.9	77.8
29.2	78.1
28.2	78.7
29.2	74.8
30	76.8
30.4	73.4
30.6	72.8
30.8	74.2
31.2	73.3
32.2	74.4
34.4	72.6
35.6	60.9
34.4	61.1
33.3	63.8
32.3	64.3
31.4	65.4
30.6	66.8
29.9	68.4
29.3	68.5
28.9	70.1
28.6	70.5
28.5	72.7
28.4	70.7
28.3	72.4
28.4	73.1
28.5	70.5
28.4	73.1
24.1	59
24.1	57.3
25.3	53.2
26	53.6
26.7	52.1
26.4	55.6
25.9	56.5
22.4	92
22.6	91.5
22.7	90.8
22.8	91.2
23.1	91.6
23.3	91
23.6	91.3
23.9	90.7
24	90.2
24	90
23.9	89.5
23.9	89.9
23.9	88.9
23.4	80.6
22.7	82.7
22.3	82.9
22	84.3
21.6	85.6
21.5	87.3
21.3	88.6
21.3	88.3
21.3	88.7
21.2	88
21.1	89.4
21	90
21.1	90.6
21.3	89
21.1	89.5
21.2	89.3
21.3	89.8
21.4	89.8
21.4	87.2
21.3	85.3
21.3	85.4
21.1	84.9
20.9	85.9
20.9	87.3
20.7	86.8
20.8	87.7
20.8	87.1
20.7	87.1
20.8	85.8
20.9	86.1
21	85.9
21	84.8
21	86.7
20.8	84.3
20.6	86.3
20.4	87.8
20.5	90.2
